date,group,n_scans,I_min_mA_mean,I_min_mA_sd,I_max_mA_mean,I_max_mA_sd,I_at_-0.6V_mA_mean,I_at_-0.6V_mA_sd,I_at_-0.4V_mA_mean,I_at_-0.4V_mA_sd,I_at_-0.2V_mA_mean,I_at_-0.2V_mA_sd,I_at_0V_mA_mean,I_at_0V_mA_sd,zero_cross_E_V_vs_SCE_mean,zero_cross_E_V_vs_SCE_sd
2026-07-17,a,2,0.07019700669292561,0.004856981246757003,0.46975660459561785,2.061555621952268e-05,0.28620873856295614,0.02647289606038531,0.39770065739301463,0.009331029246305194,0.44254778053243854,0.004934856600588808,0.4686563393860137,0.0003204342677210383,,
2026-07-17,b,2,0.11308264235655455,0.004849656158401855,1.0292813832109626,0.02365717166736855,0.6014706252690107,0.038186960094858974,0.8624185551244641,0.03913571636532179,0.96530671882802,0.03028621438549044,1.0268300468776927,0.023897543301373662,,
2026-07-17,c,2,-0.23229205734268896,0.026819124037601227,0.12768714836883285,0.17919628414606675,-0.05409471556625697,0.04377222655879538,0.031616379440914444,0.08935665889983849,0.08742878344648589,0.13895934718700398,0.12611136061492334,0.17788533940467482,-0.28568495742943584,0.3974111200942506
2026-07-17,d,2,0.013071150482491986,0.004255790019650565,0.30991499261422595,0.002774511711345594,0.12119079506155303,0.025745711548698643,0.22149638389456194,0.011296478275115667,0.2765419532322573,0.005891333626854582,0.30877042571410185,0.002728187197963762,,
2026-07-17,e,2,-0.5417404035140794,0.23208300476139412,0.30415094711563784,0.01597372455319926,-0.15692693359483423,0.10235769922992784,0.05531636939114326,0.033221699216320934,0.19750437091449569,0.0016228630149715667,0.30093644730837676,0.015633538505714733,-0.46892846993575893,0.053511339720675406
2026-07-17,f,2,0.12298244176171516,0.03874616113531267,1.8108198752564308,0.03338421534332914,1.2847649401233174,0.0001451836305870791,1.7153038908247922,0.03409612473090581,1.7828397154109266,0.033920365681096735,1.8099347133575168,0.03301009855417471,,
2026-07-17,g,2,-0.4026618337051746,0.0008001005524348538,0.8937310170043595,0.06701234350434812,0.18166847743671694,0.08048288977451241,0.5296358109297852,0.09007629291679435,0.7537212864903673,0.08200941165978645,0.8898823777782268,0.06733289417883494,-0.6731646512373552,0.0240674520595812
2026-07-17,h,2,-2.4039761649237734,0.18731305526402642,0.6463687192987306,0.9023132679233309,-1.1711451720982664,0.3026271339473622,-0.3187664095500367,0.4983001011445094,0.28461373186270683,0.7016738078650542,0.6366292393708446,0.8971725014147245,-0.2056756044353781,0.28643942221876684
2026-07-17,i,2,-1.6183936662144145,0.2937045641236886,4.009556195952676,0.44172559387630617,0.221100760022306,0.15180898687378946,1.9076097824169485,0.457290996687188,3.1196405156109086,0.4767326503091073,3.982288551130898,0.44266168274822604,-0.6221964086389226,0.01162996424119187
2026-07-17,j,2,-1.2442691736751137,0.35916006971269576,3.9267477989196777,0.6649948762445971,0.2942629618846635,0.0955150058106447,1.783740885287549,0.5007528655203821,2.9986028255369956,0.6753330550863951,3.8975839547722604,0.6655320730478878,-0.6372304196150474,0.0011972141123045889
2026-07-17,k,2,-2.410400886005826,0.13106390495886688,3.896118142388083,0.22086858255099856,-0.25000788328835377,0.04659871661880023,1.6337041190614796,0.17503156304866516,2.9303275992389786,0.21965911390842038,3.8681400264078074,0.22231732867514717,-0.5761478521703338,0.005857839540823183
