kind,intra_mean,intra_max,inter_mean,inter_min,inter_min_over_intra_max
raw,0.25356822720220445,0.792680921903383,1.2595600862276064,0.05560192698930032,0.07014414684762331
maxabs,0.13331591260073544,0.5953069382294687,0.4232260289056526,0.013114868907830035,0.022030431808565183
zshape,0.07614349224634659,0.2726267711415941,0.18297375549342218,0.012728740740445771,0.04668925464342916
