group,reference_date,query_date,n_reference,n_query,reference_I_at_0V_mA,query_I_at_0V_mA,I_at_0V_change_percent,raw_nearest_reference,raw_same_label_rmse,raw_nearest_rmse,raw_nearest_wrong_reference,raw_nearest_wrong_rmse,raw_wrong_over_correct_margin,raw_mean_matches,raw_all_scans_match,raw_nearest_label_consistent,raw_reference_leave_one_out_max_rmse,raw_same_label_over_reference_band,raw_within_reference_band,raw_passes,maxabs_nearest_reference,maxabs_same_label_rmse,maxabs_nearest_rmse,maxabs_nearest_wrong_reference,maxabs_nearest_wrong_rmse,maxabs_wrong_over_correct_margin,maxabs_mean_matches,maxabs_all_scans_match,maxabs_nearest_label_consistent,maxabs_reference_leave_one_out_max_rmse,maxabs_same_label_over_reference_band,maxabs_within_reference_band,maxabs_passes,zshape_nearest_reference,zshape_same_label_rmse,zshape_nearest_rmse,zshape_nearest_wrong_reference,zshape_nearest_wrong_rmse,zshape_wrong_over_correct_margin,zshape_mean_matches,zshape_all_scans_match,zshape_nearest_label_consistent,zshape_reference_leave_one_out_max_rmse,zshape_same_label_over_reference_band,zshape_within_reference_band,zshape_passes,nearest_label_views,normalized_views_passed,raw_view_passed,repeat_scan_prediction_disagreement,result,interpretation
a,2026-07-13,2026-07-17,5,2,2.524909061618499,0.4686563393860137,-81.438684406099,d,1.4370089284586405,1.4060396165629758,d,1.4060396165629758,0.9784487686316028,False,False,False,0.09590169946995743,14.984186269908637,False,False,b,0.5260020182104448,0.41346229499576875,b,0.41346229499576875,0.7860469745010547,False,False,False,0.035534106489319976,14.802736586848987,False,False,a,0.10547534121520462,0.10547534121520462,b,0.25363447293280067,2.4046802789222776,True,True,True,0.01455223933684527,7.248048824221046,False,False,zshape,none,False,False,not_recognizable,"Not re-identified — only z-score shape chose the expected label, and the distance exceeded enrollment variation."
b,2026-07-13,2026-07-17,5,2,3.1980559010812364,1.0268300468776927,-67.89205446563551,a,1.2552341390102608,1.1926921388019114,a,1.1926921388019114,0.9501750324782728,False,False,False,0.04630866742184818,27.105814286896283,False,False,b,0.3935564698830078,0.3935564698830078,a,0.5043541606111313,1.2815293336711253,True,True,True,0.010932768685159883,35.997877684654625,False,False,a,0.2563577237988039,0.10805198952747597,a,0.10805198952747597,0.4214891126599249,False,False,False,0.013073820992466005,19.60847742572994,False,False,maxabs,none,False,False,not_recognizable,"Not re-identified — only max-abs normalized chose the expected label, and the distance exceeded enrollment variation."
c,2026-07-13,2026-07-17,3,2,1.3067940891046337,0.12611136061492334,-90.34956144457846,d,1.6532188517863626,1.3742711472058238,d,1.3742711472058238,0.8312699469407056,False,False,False,0.11767119338771191,14.049478076925867,False,False,d,0.30169441632443317,0.14779829311108195,d,0.14779829311108195,0.48989402890421435,False,False,False,0.02013245462859932,14.985476033104216,False,False,a,0.24150713505996999,0.07716132769823916,a,0.07716132769823916,0.3194991637786552,False,False,False,0.015899004703884227,15.190078848204145,False,False,none,none,False,True,not_recognizable,Not re-identified against the 2026-07-13 references. Repeat scans also disagree.
d,2026-07-13,2026-07-17,5,2,2.118872743170774,0.30877042571410185,-85.42760877408597,d,1.3906062185171217,1.3906062185171217,a,1.5213907519795282,1.0940485751616076,True,True,True,0.18545108423303275,7.498506812555078,False,False,b,0.6752930050459826,0.27929255324474245,b,0.27929255324474245,0.4135872149685967,False,False,False,0.06373165817810192,10.5958800437741,False,False,a,0.1225788987783128,0.08123893792939171,a,0.08123893792939171,0.6627481462067505,False,False,False,0.011726487484865468,10.453164166722264,False,False,raw,none,False,True,not_recognizable,"Not re-identified by normalized shape — raw current chose the expected label, but its distance exceeded enrollment variation. Repeat scans also disagree."
e,2026-07-13,2026-07-17,3,2,1.5063408551176507,0.30093644730837676,-80.02202182288467,d,2.013542813157621,1.2445205155360803,d,1.2445205155360803,0.618075020507974,False,False,False,0.2571705481289768,7.829601125817037,False,False,d,0.336395063910173,0.0933291015152022,d,0.0933291015152022,0.27743897437247683,False,False,False,0.02044875555230515,16.450637450759288,False,False,b,0.16964021636609655,0.08774283187621161,b,0.08774283187621161,0.5172289552310867,False,False,False,0.0055553900981998566,30.536148383363034,False,False,none,none,False,True,not_recognizable,Not re-identified against the 2026-07-13 references. Repeat scans also disagree.
